F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,T
2,4,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,0,0,0,2,1,37
2,4,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,2,1,37
2,4,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,2,1,37
2,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,2,1,37
2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,2,1,35
2,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,0,0,2,1,35
2,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,0,0,0,2,1,37
2,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,2,1,35
2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34
2,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,2,1,37
2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35
2,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,2,1,37
2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,1,34
2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,2,1,35
2,4,0,4,0,4,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,2,1,35
2,4,0,4,0,0,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,2,1,35
2,4,0,4,0,4,0,4,0,0,0,0,0,4,0,4,0,0,0,2,0,2,1,37
2,4,0,4,0,0,0,4,0,0,0,0,0,4,0,4,0,0,0,2,0,2,1,34
10,0,0,0,0,0,0,0,0,4,0,4,0,4,0,4,0,0,0,4,0,0,1,37
2,4,0,4,0,4,0,4,0,0,0,0,0,4,0,4,0,0,0,4,0,2,1,35
10,0,0,0,0,4,0,0,0,4,0,4,0,4,0,4,0,0,0,4,0,0,1,37
2,4,0,4,0,0,0,4,0,0,0,0,0,4,0,4,0,0,0,4,0,2,1,35
10,0,0,4,0,0,0,4,0,4,0,4,0,4,0,0,0,0,0,4,0,4,1,37
10,0,0,0,0,0,0,0,0,4,0,4,0,4,0,4,0,0,0,0,0,0,1,37
10,0,0,4,0,4,0,4,0,4,0,4,0,4,0,0,0,0,0,4,0,4,1,37
10,0,0,0,0,4,0,0,0,4,0,4,0,4,0,4,0,0,0,0,0,0,1,37
10,0,0,4,0,0,0,4,0,4,0,4,0,4,0,0,0,0,0,0,0,4,1,37
10,0,0,4,0,4,0,4,0,4,0,4,0,4,0,0,0,0,0,0,0,4,1,37
2,0,0,4,0,4,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,2,1,35
2,0,0,4,0,0,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,2,1,37
2,0,0,4,0,4,0,4,0,0,0,0,0,4,0,4,0,0,0,2,0,2,1,37
2,0,0,4,0,0,0,4,0,0,0,0,0,4,0,4,0,0,0,2,0,2,1,34
10,4,0,0,0,0,0,0,0,4,0,4,0,4,0,4,0,0,0,4,0,0,1,37
2,0,0,4,0,4,0,4,0,0,0,0,0,4,0,4,0,0,0,4,0,2,1,35
10,4,0,0,0,4,0,0,0,4,0,4,0,4,0,4,0,0,0,4,0,0,1,37
2,0,0,4,0,0,0,4,0,0,0,0,0,4,0,4,0,0,0,4,0,2,1,37
10,4,0,4,0,0,0,4,0,4,0,4,0,4,0,0,0,0,0,4,0,4,1,37
10,4,0,0,0,0,0,0,0,4,0,4,0,4,0,4,0,0,0,0,0,0,1,37
10,4,0,4,0,4,0,4,0,4,0,4,0,4,0,0,0,0,0,4,0,4,1,37
10,4,0,0,0,4,0,0,0,4,0,4,0,4,0,4,0,0,0,0,0,0,1,37
10,4,0,4,0,0,0,4,0,4,0,4,0,4,0,0,0,0,0,0,0,4,1,37
10,4,0,4,0,4,0,4,0,4,0,4,0,4,0,0,0,0,0,0,0,4,1,37
2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,2,0,0,0,1,34
2,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,0,4,2,1,37
2,4,0,4,0,4,0,0,0,0,0,4,0,4,0,4,0,4,0,0,0,4,1,37
2,4,0,4,0,0,0,4,0,4,0,4,0,4,0,4,0,4,0,0,4,2,1,37
2,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,4,0,0,0,4,1,37
2,4,0,0,0,4,0,0,0,4,0,4,0,4,0,4,0,0,0,0,0,2,1,35
10,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,1,37
2,4,0,0,0,0,0,0,0,4,0,4,0,4,0,4,0,0,0,0,0,2,1,35
2,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,4,2,1,37
10,0,0,4,0,4,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,1,37
2,4,0,0,0,4,0,0,0,4,0,4,0,4,0,4,0,0,0,2,0,2,1,37
2,4,0,4,0,4,0,0,0,0,0,4,0,4,0,4,0,4,0,4,0,4,1,37
2,4,0,4,0,0,0,4,0,4,0,4,0,4,0,4,0,4,0,4,4,2,1,37
2,4,0,0,0,0,0,0,0,4,0,4,0,4,0,4,0,0,0,2,0,2,1,34
2,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,4,0,4,0,4,1,37
2,4,0,0,0,4,0,0,0,4,0,4,0,4,0,4,0,0,0,4,0,2,1,35
10,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,0,1,37
2,4,0,0,0,0,0,0,0,4,0,4,0,4,0,4,0,0,0,4,0,2,1,35
10,0,0,4,0,4,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,0,1,37
2,0,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,0,4,2,1,37
2,0,0,4,0,4,0,0,0,0,0,4,0,4,0,4,0,4,0,0,0,4,1,37
2,0,0,4,0,0,0,4,0,4,0,4,0,4,0,4,0,4,0,0,4,2,1,34
2,0,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,4,0,0,0,4,1,37
2,0,0,0,0,4,0,0,0,4,0,4,0,4,0,4,0,0,0,0,0,2,1,37
10,4,0,4,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,1,37
2,0,0,0,0,0,0,0,0,4,0,4,0,4,0,4,0,0,0,0,0,2,1,35
2,0,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,4,2,1,37
10,4,0,4,0,4,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,1,37
2,0,0,0,0,4,0,0,0,4,0,4,0,4,0,4,0,0,0,2,0,2,1,37
2,0,0,4,0,4,0,0,0,0,0,4,0,4,0,4,0,4,0,4,0,4,1,37
2,0,0,4,0,0,0,4,0,4,0,4,0,4,0,4,0,4,0,4,4,2,1,34
2,0,0,0,0,0,0,0,0,4,0,4,0,4,0,4,0,0,0,2,0,2,1,34
2,0,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,4,0,4,0,4,1,37
2,0,0,0,0,4,0,0,0,4,0,4,0,4,0,4,0,0,0,4,0,2,1,37
10,4,0,4,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,0,1,37
2,0,0,0,0,0,0,0,0,4,0,4,0,4,0,4,0,0,0,4,0,2,1,35
10,4,0,4,0,4,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,0,1,37
2,4,0,4,0,4,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,2,1,35
2,4,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,2,1,35
2,4,0,4,0,4,0,4,0,0,0,0,0,4,0,0,0,0,0,2,0,2,1,37
2,4,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,2,0,2,1,34
2,4,0,4,0,4,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,2,1,35
10,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,4,0,4,1,37
2,4,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,2,1,35
10,0,0,4,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,4,0,4,1,37
10,0,0,4,0,0,0,4,0,4,0,4,0,4,0,4,0,0,0,4,0,4,1,37
10,0,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,0,0,4,0,4,1,37
10,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,1,37
10,0,0,4,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,1,37
10,0,0,4,0,0,0,4,0,4,0,4,0,4,0,4,0,0,0,0,0,4,1,37
10,0,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,0,0,0,0,4,1,37
2,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,37
2,4,0,4,0,4,0,0,4,0,0,0,0,0,0,2,0,2,0,0,0,0,1,37
2,4,0,4,0,4,0,0,0,0,0,0,4,0,0,0,0,2,0,2,0,0,1,34
2,0,0,4,0,4,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,2,1,35
2,4,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,2,0,0,1,34
2,4,0,4,0,0,0,0,4,0,0,0,0,0,0,2,0,2,0,0,0,0,1,37
2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,37
2,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,2,1,37
2,4,0,4,0,4,0,0,4,0,0,0,0,0,0,2,0,2,0,2,0,0,1,35
2,4,0,4,0,4,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,1,37
2,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,35
2,0,0,4,0,4,0,4,0,0,0,0,0,4,0,0,0,0,0,2,0,2,1,37
2,4,0,4,0,0,0,0,4,0,0,0,0,0,0,2,0,2,0,2,0,0,1,35
2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,35
2,4,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,1,37
2,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,2,0,2,1,34
2,0,0,4,0,4,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,2,1,35
10,4,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,4,0,4,1,37
2,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,2,1,37
2,4,0,4,0,4,0,4,0,4,0,0,0,0,0,4,0,0,0,0,0,4,1,37
10,4,0,4,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,4,0,4,1,37
2,4,0,4,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,0,0,4,1,37
10,4,0,4,0,0,0,4,0,4,0,4,0,4,0,4,0,0,0,4,0,4,1,37
10,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,0,0,4,0,4,1,37
10,4,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,1,37
2,4,0,4,0,4,0,4,0,4,0,0,0,0,0,4,0,0,0,4,0,4,1,37
10,4,0,4,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,1,37
2,4,0,4,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,4,0,4,1,37
2,4,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,1,34
10,4,0,4,0,0,0,4,0,4,0,4,0,4,0,4,0,0,0,0,0,4,1,37
2,4,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,2,1,34
10,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,0,0,0,0,4,1,37
2,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,35
2,0,0,4,0,4,0,0,4,0,0,0,0,0,0,2,0,2,0,0,0,0,1,37
2,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,0,2,0,2,0,0,1,37
2,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,2,0,0,1,37
2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,35
2,0,0,4,0,0,0,0,4,0,0,0,0,0,0,2,0,2,0,0,0,0,1,37
2,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,37
2,0,0,4,0,4,0,0,4,0,0,0,0,0,0,2,0,2,0,2,0,0,1,35
2,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,1,34
2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,37
2,4,0,0,0,4,0,4,0,4,0,0,0,4,0,4,0,4,0,0,0,2,1,37
2,0,0,4,0,0,0,0,4,0,0,0,0,0,0,2,0,2,0,2,0,0,1,35
2,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,1,34
2,4,0,4,0,4,0,4,0,4,0,4,0,4,0,0,0,4,0,0,4,2,1,37
2,4,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,4,0,0,0,2,1,37
2,4,0,4,0,4,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,4,1,37
2,4,0,4,0,0,0,4,0,4,0,4,0,4,0,0,0,4,0,0,4,2,1,37
2,4,0,4,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,4,1,37
2,4,0,0,0,4,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,2,1,35
2,0,0,4,0,4,0,4,0,4,0,0,0,0,0,4,0,0,0,0,0,4,1,37
10,0,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,4,0,4,0,0,1,37
2,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,2,1,35
2,4,0,0,0,4,0,4,0,4,0,0,0,4,0,4,0,4,0,4,0,2,1,37
2,0,0,4,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,0,0,4,1,37
2,4,0,4,0,4,0,4,0,4,0,4,0,4,0,0,0,4,0,4,4,2,1,37
10,0,0,4,0,4,0,0,0,0,0,4,0,4,0,4,0,4,0,4,0,0,1,37
2,4,0,0,0,4,0,0,0,4,0,4,0,4,0,0,0,0,0,2,0,2,1,37
2,4,0,4,0,4,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,4,1,37
2,4,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,4,0,4,0,2,1,37
2,4,0,4,0,0,0,4,0,4,0,4,0,4,0,0,0,4,0,4,4,2,1,37
2,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,2,0,2,1,34
2,4,0,4,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,4,1,37
2,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,4,0,0,2,0,2,1,37
2,0,0,4,0,4,0,4,0,4,0,0,0,0,0,4,0,0,0,4,0,4,1,37
2,4,0,0,0,4,0,0,0,4,0,4,0,4,0,0,0,0,0,4,0,2,1,35
10,0,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,4,0,0,0,0,1,37
2,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,2,0,2,1,35
2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,2,1,37
2,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,1,34
2,0,0,4,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,4,0,4,1,37
2,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,4,0,2,1,35
10,0,0,4,0,4,0,0,0,0,0,4,0,4,0,4,0,4,0,0,0,0,1,37
2,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,2,1,34
2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,0,2,1,37
2,4,0,4,0,4,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,37
2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,37
2,4,0,4,0,4,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,1,34
2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,1,34
2,0,0,0,0,4,0,4,0,4,0,0,0,4,0,4,0,4,0,0,0,2,1,35
2,0,0,4,0,4,0,4,0,4,0,4,0,4,0,0,0,4,0,0,4,2,1,37
2,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,4,0,0,0,2,1,37
2,0,0,4,0,4,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,4,1,37
2,0,0,4,0,0,0,4,0,4,0,4,0,4,0,0,0,4,0,0,4,2,1,34
2,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,4,1,37
2,4,0,0,0,4,0,4,0,4,0,4,0,0,0,0,0,2,0,0,0,2,1,37
2,4,0,0,0,4,0,4,0,4,0,4,4,0,0,0,0,2,0,2,0,2,1,34
2,0,0,0,0,4,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,2,1,37
2,4,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,2,0,0,0,2,1,37
10,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,4,0,4,0,0,1,37
2,4,0,0,0,0,0,4,0,4,0,4,4,0,0,0,0,2,0,2,0,2,1,34
2,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,2,1,35
2,0,0,0,0,4,0,4,0,4,0,0,0,4,0,4,0,4,0,4,0,2,1,35
2,4,0,0,0,4,0,4,0,4,0,4,0,0,0,0,0,2,0,2,0,2,1,35
10,4,0,4,0,4,0,0,0,0,0,4,0,4,0,4,0,4,0,4,0,0,1,37
2,0,0,4,0,4,0,4,0,4,0,4,0,4,0,0,0,4,0,4,4,2,1,37
2,4,0,0,0,4,0,4,0,4,0,4,4,0,0,0,0,2,0,0,0,2,1,37
2,0,0,0,0,4,0,0,0,4,0,4,0,4,0,0,0,0,0,2,0,2,1,37
2,0,0,4,0,4,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,4,1,37
2,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,4,0,4,0,2,1,37
2,4,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,2,0,2,0,2,1,35
2,0,0,4,0,0,0,4,0,4,0,4,0,4,0,0,0,4,0,4,4,2,1,34
2,4,0,0,0,0,0,4,0,4,0,4,4,0,0,0,0,2,0,0,0,2,1,37
2,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,2,0,2,1,34
2,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,4,1,37
2,0,0,4,0,4,0,0,0,0,0,0,0,4,0,4,4,0,0,2,0,2,1,37
2,0,0,0,0,4,0,0,0,4,0,4,0,4,0,0,0,0,0,4,0,2,1,37
10,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,4,0,0,0,0,1,37
2,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,2,0,2,1,35
2,4,0,0,4,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,2,1,37
2,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,4,0,2,1,35
10,4,0,4,0,4,0,0,0,0,0,4,0,4,0,4,0,4,0,0,0,0,1,37
2,4,0,0,4,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,2,1,37
2,0,0,4,0,4,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,37
10,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,0,0,1,37
2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,37
10,0,0,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,4,0,0,1,37
2,0,0,4,0,4,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,1,34
2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,1,34
10,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,1,37
10,0,0,4,0,0,0,0,0,4,0,0,0,4,0,4,0,4,0,4,0,4,1,37
2,0,0,0,0,4,0,4,0,4,0,4,0,0,0,0,0,2,0,0,0,2,1,35
10,0,0,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,1,37
2,0,0,0,0,4,0,4,0,4,0,4,4,0,0,0,0,2,0,2,0,2,1,37
10,0,0,4,0,4,0,0,0,4,0,0,0,4,0,4,0,4,0,4,0,4,1,37
2,0,0,0,0,0,0,4,0,4,0,4,4,0,0,0,0,2,0,2,0,2,1,37
2,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,2,0,0,0,2,1,35
2,0,0,0,0,4,0,4,0,4,0,4,4,0,0,0,0,2,0,0,0,2,1,34
2,0,0,0,0,4,0,4,0,4,0,4,0,0,0,0,0,2,0,2,0,2,1,37
2,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,2,0,2,0,2,1,37
2,0,0,0,0,0,0,4,0,4,0,4,4,0,0,0,0,2,0,0,0,2,1,34
10,0,0,4,0,0,0,0,0,4,0,0,0,4,0,4,0,4,0,0,0,4,1,37
10,0,0,4,0,4,0,0,0,4,0,0,0,4,0,4,0,4,0,0,0,4,1,37
2,0,0,0,4,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,2,1,37
2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,2,1,37
2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,2,0,2,1,37
2,0,0,0,4,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,2,1,37
10,4,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,0,0,1,37
10,4,0,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,4,0,0,1,37
10,4,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,1,37
10,4,0,4,0,0,0,0,0,4,0,0,0,4,0,4,0,4,0,4,0,4,1,37
10,4,0,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,1,37
2,4,0,4,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,1,37
10,4,0,4,0,4,0,0,0,4,0,0,0,4,0,4,0,4,0,4,0,4,1,37
2,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,1,37
10,4,0,4,0,0,0,0,0,4,0,0,0,4,0,4,0,4,0,0,0,4,1,37
2,4,0,4,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,1,37
10,4,0,4,0,4,0,0,0,4,0,0,0,4,0,4,0,4,0,0,0,4,1,37
2,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,1,37
2,4,0,4,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,1,37
2,4,0,4,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,1,37
2,4,0,4,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,2,0,0,1,34
2,4,0,4,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,2,0,0,1,37
2,4,0,4,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,1,37
2,4,0,0,0,4,0,4,0,4,0,0,0,4,0,0,0,4,0,0,0,2,1,37
2,4,0,4,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,1,37
2,4,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,4,0,0,0,2,1,37
2,0,0,4,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,1,37
2,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,1,37
2,4,0,0,0,4,0,4,0,4,0,0,0,4,0,0,0,4,0,4,0,2,1,37
2,4,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,4,0,4,0,2,1,37
2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,6
2,4,0,4,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0,2,0,2,1,37
2,0,0,4,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,1,37
2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,37
2,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,2,0,2,1,35
2,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,1,37
2,0,0,4,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,1,37
2,0,0,4,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,1,37
2,0,0,4,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,2,0,0,1,37
2,0,0,4,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,2,0,0,1,34
2,0,0,4,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,1,37
2,0,0,0,0,4,0,4,0,4,0,0,0,4,0,0,0,4,0,0,0,2,1,35
2,0,0,4,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,1,37
2,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,4,0,0,0,2,1,37
2,0,0,0,0,4,0,4,0,4,0,0,0,4,0,0,0,4,0,4,0,2,1,35
2,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,4,0,4,0,2,1,37
2,0,0,4,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0,2,0,2,1,37
2,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,2,0,2,1,35
2,4,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,0,0,0,4,2,1,34
2,4,0,4,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,4,2,1,34
10,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,4,0,0,1,37
2,4,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,0,0,4,4,2,1,34
10,0,0,0,0,4,0,0,0,4,0,4,0,0,0,4,0,0,0,4,0,0,1,37
2,4,0,4,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,4,4,2,1,34
10,0,0,4,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,1,37
10,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,0,1,37
10,0,0,4,0,4,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,1,37
10,0,0,0,0,4,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,0,1,37
2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,37
10,0,0,4,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,4,1,37
10,0,0,4,0,4,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,4,1,37
2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,1,37
2,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,0,0,0,4,2,1,34
2,0,0,4,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,4,2,1,37
10,4,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,4,0,0,1,37
